nome_hotel,prezzo_iniziale,prezzo,credito_guadagnato,stanza,città,data,punteggio,stelle,stelle_booking,partner_preferiti,novita,evidenza,numero_recensioni,distanza_centro,genius,offerte,colazione_inclusa,senza_pagamento_anticipato,cancellazione_gratuita,os,username,user_agent_type,TIMESTAMP
Casa Come Me,€ 77,€ 77,,Camera Matrimoniale Economy,"Borgo vecchio, Palermo",2024-06-15,"8,1
Punteggio di 8,1",,,,False,False,270 recensioni,"0,9 km dal centro",False,,False,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Antista Rooms,€ 73,€ 73,,Camera Matrimoniale con Bagno Privato,"La Kalsa, Palermo",2024-06-15,"8,8
Punteggio di 8,8",,,,False,False,179 recensioni,"1,3 km dal centro",False,,False,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Politeama Center,€ 94,€ 94,,Camera Matrimoniale,"Borgo vecchio, Palermo",2024-06-15,"8,3
Punteggio di 8,3",,3.0,preferred,False,False,455 recensioni,"0,6 km dal centro",False,,True,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
"Open Sicily Homes ""Residence Guascone"" - Self check in",€ 187,€ 159,Guadagna € 11 di Credito,Appartamento Standard,"La Kalsa, Palermo",2024-06-15,"8,9
Punteggio di 8,9",,4.0,preferred_plus,False,False,432 recensioni,1 km dal centro,True,,False,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Hotel Garibaldi,€ 159,€ 144,,Camera Matrimoniale/Doppia con Letti Singoli,"Ruggero Settimo, Palermo",2024-06-15,"7,9
Punteggio di 7,9",4.0,,preferred,False,False,3.474 recensioni,450 m dal centro,True,,False,False,False,MacOS,pantilaura56,desktop,05-07-2024---14:37
Palermo Gallery,€ 144,€ 127,,Camera Matrimoniale,"Ruggero Settimo, Palermo",2024-06-15,"8,9
Punteggio di 8,9",,4.0,preferred,False,False,691 recensioni,"0,7 km dal centro",True,,True,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
BONORUM,€ 94,€ 85,,Camera Matrimoniale Standard,Palermo,2024-06-15,"7,9
Punteggio di 7,9",,3.0,preferred,False,False,762 recensioni,"1,1 km dal centro",True,,False,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
B&B AL PASSIO,€ 157,€ 100,,Camera Matrimoniale/Doppia con Letti Singoli con Terrazza,"Borgo vecchio, Palermo",2024-06-15,"9,0
Punteggio di 9,0",,4.0,preferred,False,False,474 recensioni,"0,6 km dal centro",True,Offerta Vacanze ,True,False,False,MacOS,pantilaura56,desktop,05-07-2024---14:37
Il Quadrifoglio Room& Suite,€ 96,€ 87,,Camera Matrimoniale/Doppia con Letti Singoli,"Ruggero Settimo, Palermo",2024-06-15,"8,2
Punteggio di 8,2",,3.0,preferred,False,False,246 recensioni,250 m dal centro,True,,True,False,False,MacOS,pantilaura56,desktop,05-07-2024---14:37
Massimo Plaza Hotel,€ 218,€ 197,,Camera Matrimoniale/Doppia con Letti Singoli,"Castellammare Vucciria, Palermo",2024-06-15,"8,3
Punteggio di 8,3",4.0,,preferred,False,False,496 recensioni,150 m dal centro,True,,True,True,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Hotel Concordia,€ 108,€ 97,,Camera Tripla,"La Kalsa, Palermo",2024-06-15,"8,1
Punteggio di 8,1",1.0,,preferred,False,False,1.606 recensioni,"1,2 km dal centro",True,,False,False,False,MacOS,pantilaura56,desktop,05-07-2024---14:37
