nome_hotel,prezzo,stanza,città,data,punteggio,numero_recensioni,distanza_centro,genius,offerte,colazione_inclusa,senza_pagamento_anticipato,cancellazione_gratuita,os,username,user_agent_type,TIMESTAMP
Suk Ballarò House,€ 216,Appartamento con 3 Camere da Letto,"Albergaria, Palermo",2024-03-20,"9,2",17 recensioni,1 km dal centro,True,Offerta a tempo limitato ,False,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
B&B Addauru,€ 51,Camera Matrimoniale/Doppia con Letti Singoli,"La Kalsa, Palermo",2024-03-20,"8,9",540 recensioni,"1,1 km dal centro",True,,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Cartari Apartment,€ 49,Camera Matrimoniale,"La Kalsa, Palermo",2024-03-20,"8,6",687 recensioni,"0,9 km dal centro",True,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
La Casa del Moro,€ 49,Camera Matrimoniale con Bagno Privato,Palermo,2024-03-20,"8,7",682 recensioni,"0,9 km dal centro",True,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
B&B Angolo83 Palermo centro,€ 67,Camera Matrimoniale Deluxe con Balcone,"La Kalsa, Palermo",2024-03-20,"9,7",495 recensioni,"1,1 km dal centro",True,Offerta Inizio 2024 ,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
ALBA DEL CAPO,€ 60,Camera Matrimoniale/Doppia con Letti Singoli con Bagno Privato,Palermo,2024-03-20,"8,3",1.083 recensioni,200 m dal centro,True,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Ai Bastioni del Massimo,€ 45,Camera Matrimoniale con Bagno in Comune,Palermo,2024-03-20,"9,3",405 recensioni,250 m dal centro,True,,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Old Town Loft - Palermo,€ 45,Appartamento con 1 Camera da Letto,"Monte di Pietà, Palermo",2024-03-20,"8,9",37 recensioni,"0,6 km dal centro",True,Offerta Inizio 2024 ,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Afea Art & Rooms,€ 58,Camera Classic Matrimoniale/Doppia con Letti Singoli,"Ruggero Settimo, Palermo",2024-03-20,"8,9",562 recensioni,"0,6 km dal centro",False,Offerta a tempo limitato Booking.com paga ,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Due Passi Suite,€ 85,Camera Deluxe,"Ruggero Settimo, Palermo",2024-03-20,"9,0",461 recensioni,300 m dal centro,True,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Sammartino suite,€ 54,Camera Tripla,"Ruggero Settimo, Palermo",2024-03-20,"8,4",538 recensioni,"0,9 km dal centro",True,,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Eurostars Centrale Palace Hotel,€ 108,Camera Matrimoniale Standard,"Monte di Pietà, Palermo",2024-03-20,"8,3",3.260 recensioni,"0,7 km dal centro",False,Offerta a tempo limitato ,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Colors B&B,€ 85,Camera Matrimoniale,"Monte di Pietà, Palermo",2024-03-20,"9,4",791 recensioni,350 m dal centro,True,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Suite del Ponte Normanno,€ 61,Camera King Standard,Palermo,2024-03-20,"8,9",1.135 recensioni,"1,8 km dal centro",True,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Palermo Politeama rooms,€ 68,Camera Matrimoniale Economy,"Ruggero Settimo, Palermo",2024-03-20,10,5 recensioni,"0,5 km dal centro",True,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Mercure Palermo Centro,€ 94,Camera Matrimoniale Economy,"Ruggero Settimo, Palermo",2024-03-20,"8,2",3.453 recensioni,450 m dal centro,False,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Ai Vicerè,€ 76,Camera Standard con Bagno Privato Esterno,"Ruggero Settimo, Palermo",2024-03-20,"8,9",470 recensioni,150 m dal centro,True,Offerta Inizio 2024 Booking.com paga ,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Liolà Palermo,€ 35,Camera Matrimoniale con Bagno in Comune,Palermo,2024-03-20,"8,4",543 recensioni,250 m dal centro,True,Offerta Inizio 2024 ,False,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
B&B Ammirata,€ 61,Camera King Standard,Palermo,2024-03-20,"8,7",214 recensioni,"1,4 km dal centro",True,Booking.com paga ,True,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Due Passi,€ 63,Camera Matrimoniale/Doppia con Letti Singoli con Bagno Privato Esterno,"Ruggero Settimo, Palermo",2024-03-20,"8,9",685 recensioni,400 m dal centro,True,,True,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Liolà Home Palermo,€ 36,Camera Matrimoniale con Bagno in Comune,Palermo,2024-03-20,"8,6",187 recensioni,250 m dal centro,True,Offerta Inizio 2024 ,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Porta di Castro Boutique Hotel & SPA,€ 112,Camera Matrimoniale Standard,"Albergaria, Palermo",2024-03-20,"8,9",1.368 recensioni,"1,1 km dal centro",True,Booking.com paga ,True,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Nuovo Cortile Palermo Bed and Breakfast,€ 44,Camera Matrimoniale,Palermo,2024-03-20,"7,9",164 recensioni,350 m dal centro,True,,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Stupor Mundi Bed and Breakfast,€ 71,Camera Matrimoniale Deluxe,"Ruggero Settimo, Palermo",2024-03-20,"8,8",307 recensioni,300 m dal centro,True,Offerta Inizio 2024 Booking.com paga ,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
CELSO 14,€ 69,Camera King,"Monte di Pietà, Palermo",2024-03-20,"9,9",278 recensioni,"0,5 km dal centro",False,,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
B&B Ungheria Ottantaquattro,€ 77,Camera Matrimoniale con Bagno Privato,"Ruggero Settimo, Palermo",2024-03-20,"8,7",258 recensioni,150 m dal centro,True,Booking.com paga ,True,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Marmur Suite,€ 80,Camera Matrimoniale,"Albergaria, Palermo",2024-03-20,"8,7",639 recensioni,1 km dal centro,True,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Mamamia al Teatro Biondo,€ 58,Camera Quadrupla con Bagno Privato Esterno,"Castellammare Vucciria, Palermo",2024-03-20,"8,6",924 recensioni,"0,6 km dal centro",True,Offerta Inizio 2024 ,False,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Suite 136,€ 85,Camera Matrimoniale Superior,"Ruggero Settimo, Palermo",2024-03-20,"8,8",210 recensioni,300 m dal centro,True,Booking.com paga ,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Ariston Petit Hotel,€ 59,Camera Economy Matrimoniale/Doppia con Letti Singoli,"Ruggero Settimo, Palermo",2024-03-20,"8,9",934 recensioni,300 m dal centro,True,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
La Maison del Sole,€ 81,Camera Deluxe,"Castellammare Vucciria, Palermo",2024-03-20,"9,2",1.528 recensioni,500 m dal centro,True,Booking.com paga ,False,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Hotel Concordia,€ 56,Camera Matrimoniale/Doppia con Letti Singoli,"La Kalsa, Palermo",2024-03-20,"8,1",1.516 recensioni,"1,2 km dal centro",True,,False,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
La Vucciria di Guttuso,€ 54,Camera Quadrupla con Terrazza,"Castellammare Vucciria, Palermo",2024-03-20,"7,9",629 recensioni,"0,7 km dal centro",True,Offerta Inizio 2024 Booking.com paga ,False,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Petrosino,€ 81,Camera Matrimoniale Deluxe,"La Kalsa, Palermo",2024-03-20,"8,6",763 recensioni,1 km dal centro,True,Offerta Inizio 2024 ,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Bed in Spa,€ 74,Camera Matrimoniale Superior,"Ruggero Settimo, Palermo",2024-03-20,"9,0",471 recensioni,300 m dal centro,True,Booking.com paga ,False,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
B&B Hotel Palermo Quattro Canti,€ 70,Camera Matrimoniale,Palermo,2024-03-20,"8,4",3.770 recensioni,"0,7 km dal centro",False,,False,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Alba e i Mori,€ 50,Camera Matrimoniale con Bagno in Comune,Palermo,2024-03-20,"8,6",59 recensioni,"0,6 km dal centro",True,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Bedda Mari Rooms & Suite,€ 87,Camera Queen Deluxe,"La Kalsa, Palermo",2024-03-20,"9,0",469 recensioni,"0,9 km dal centro",True,,True,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
La Piccola Formica Charme Rooms,€ 59,Camera Matrimoniale/Doppia con Letti Singoli con Bagno Privato,Palermo,2024-03-20,"9,6",467 recensioni,"1,1 km dal centro",False,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Real Fonderia b&b,€ 82,Camera Matrimoniale Piccola,"Castellammare Vucciria, Palermo",2024-03-20,"8,9",444 recensioni,"0,8 km dal centro",True,Offerta Inizio 2024 Booking.com paga ,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Maximum hub suite&spa,€ 115,Camera Queen con Vasca Idromassaggio,"Ruggero Settimo, Palermo",2024-03-20,"9,0",188 recensioni,"0,7 km dal centro",True,Offerta Inizio 2024 Booking.com paga ,True,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Tufoletto Apartment,€ 76,Appartamento con 1 Camera da Letto,"Monte di Pietà, Palermo",2024-03-20,"9,1",54 recensioni,300 m dal centro,True,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Piazza Marina,€ 76,Camera Matrimoniale con Bagno Privato Esterno,"La Kalsa, Palermo",2024-03-20,"8,8",142 recensioni,"1,1 km dal centro",True,Offerta Inizio 2024 Booking.com paga ,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Ai Tre Mercati,€ 86,Junior Suite con Balcone,"Albergaria, Palermo",2024-03-20,"9,5",676 recensioni,1 km dal centro,True,Offerta Inizio 2024 Booking.com paga ,True,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Pànto - Rooftop boutique rooms,€ 93,Camera Matrimoniale Deluxe,"Castellammare Vucciria, Palermo",2024-03-20,"9,3",914 recensioni,"0,7 km dal centro",True,,True,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
"Giulio Cesare 14, Residence",€ 71,Camera Matrimoniale,Palermo,2024-03-20,"8,3",779 recensioni,"1,5 km dal centro",True,Booking.com paga ,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Meridiana B&B,€ 76,Camera Matrimoniale con Bagno Privato,Palermo,2024-03-20,"9,5",667 recensioni,2 km dal centro,True,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Rooms 19 B&B,€ 65,Camera Matrimoniale,"Castellammare Vucciria, Palermo",2024-03-20,"9,1",440 recensioni,"0,6 km dal centro",True,Offerta Inizio 2024 ,True,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
La Dimora del Massimo,€ 64,Camera Matrimoniale Standard,Palermo,2024-03-20,"8,3",560 recensioni,100 m dal centro,False,,True,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Sant'Andrea - Luxury Rooms in Vucciria,€ 89,Camera Queen Superior,"Castellammare Vucciria, Palermo",2024-03-20,"9,7",207 recensioni,"0,6 km dal centro",True,Offerta Inizio 2024 Booking.com paga ,False,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
DhOME B&B,€ 67,Camera Quadrupla con Bagno Privato,"Monte di Pietà, Palermo",2024-03-20,"8,7",443 recensioni,350 m dal centro,False,,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Amaranta,€ 48,Camera Matrimoniale con Bagno Privato Esterno,Palermo,2024-03-20,"7,8",628 recensioni,"1,6 km dal centro",True,,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Palermo Inn Suite,€ 71,Camera Matrimoniale Standard,Palermo,2024-03-20,"7,9",279 recensioni,"1,6 km dal centro",True,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
SuperAttico Bella Bellù,€ 96,Camera King con Vista Montagne,"Ruggero Settimo, Palermo",2024-03-20,"8,7",201 recensioni,"0,9 km dal centro",True,Booking.com paga ,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Hostel Josef,€ 53,Camera Matrimoniale con Balcone,"La Kalsa, Palermo",2024-03-20,"8,1",444 recensioni,1 km dal centro,True,,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Better & Better,€ 74,Camera Matrimoniale,"Ruggero Settimo, Palermo",2024-03-20,"9,3",684 recensioni,300 m dal centro,True,,True,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Barlaman Luxury Rooms,€ 57,Camera Matrimoniale Deluxe,"La Kalsa, Palermo",2024-03-20,"9,5",449 recensioni,"0,9 km dal centro",True,,False,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Jennys place,€ 54,Camera Matrimoniale con Bagno Privato,Palermo,2024-03-20,"8,9",613 recensioni,"1,6 km dal centro",True,,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
B&B Palermo Pirri,€ 69,Camera Matrimoniale Piccola,Palermo,2024-03-20,"9,0",69 recensioni,"1,6 km dal centro",True,Booking.com paga ,True,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Pretoria Rooms,€ 64,Camera Matrimoniale con Bagno Privato Esterno,"Castellammare Vucciria, Palermo",2024-03-20,"8,2",504 recensioni,"0,7 km dal centro",False,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Piazza Florio Rooms,€ 70,Camera Matrimoniale Superior,"Ruggero Settimo, Palermo",2024-03-20,"8,1",657 recensioni,500 m dal centro,True,Booking.com paga ,True,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Hotel Tonic,€ 66,Camera Matrimoniale/Doppia con Letti Singoli,"Ruggero Settimo, Palermo",2024-03-20,"8,1",740 recensioni,350 m dal centro,False,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Addimora Boutique Suites,€ 92,Camera Matrimoniale con Bagno Privato,"Borgo vecchio, Palermo",2024-03-20,"9,5",1.009 recensioni,"0,5 km dal centro",True,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
B&B Zammù,€ 49,Camera Matrimoniale,"Ruggero Settimo, Palermo",2024-03-20,"7,7",430 recensioni,450 m dal centro,False,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
"Open Sicily Homes ""Residence ai Quattro Canti"" - Self check in - Deposito Bagagli",€ 98,Appartamento Superior,"Albergaria, Palermo",2024-03-20,"8,7",371 recensioni,"0,8 km dal centro",True,Offerta Inizio 2024 Booking.com paga ,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Costa Suites,€ 73,Camera Matrimoniale Deluxe,Palermo,2024-03-20,"9,2",29 recensioni,"2,9 km dal centro",True,Booking.com paga ,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Ruggero Settimo - Room & Suite,€ 70,Camera Deluxe,"Ruggero Settimo, Palermo",2024-03-20,"8,4",754 recensioni,250 m dal centro,False,,False,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Maqueda Suites,€ 88,Suite con Balcone,"Castellammare Vucciria, Palermo",2024-03-20,"9,6",121 recensioni,500 m dal centro,True,Offerta Inizio 2024 ,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Villa di Nera B&B,€ 57,Camera Matrimoniale Standard,Palermo,2024-03-20,"8,8",484 recensioni,"3,9 km dal centro",True,Offerta Inizio 2024 ,True,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Vittorio Emanuele Rooms di Prinzi,€ 72,Camera Tripla Comfort,Palermo,2024-03-20,"8,7",228 recensioni,"0,7 km dal centro",True,Booking.com paga ,True,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
AUSA suites,€ 71,Camera Matrimoniale con Balcone,"La Kalsa, Palermo",2024-03-20,"9,0",190 recensioni,"1,3 km dal centro",True,Offerta Inizio 2024 Booking.com paga ,False,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
"Open Sicily Homes ""Residence Guascone"" - Self check in",€ 101,Appartamento con Balcone,"La Kalsa, Palermo",2024-03-20,"8,9",376 recensioni,1 km dal centro,True,Offerta Inizio 2024 ,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Ciccio Rooms and breakfast,€ 78,Camera Matrimoniale Deluxe con Balcone e Vista Mare,Palermo,2024-03-20,"9,3",77 recensioni,"3,5 km dal centro",True,Offerta Inizio 2024 Booking.com paga ,True,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Liberty Palace,€ 79,Camera Matrimoniale Deluxe con Balcone,"La Kalsa, Palermo",2024-03-20,"8,8",561 recensioni,"1,3 km dal centro",True,Booking.com paga ,True,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Alba Camere,€ 67,Camera Tripla con Bagno Privato Esterno,Palermo,2024-03-20,"8,4",1.353 recensioni,200 m dal centro,True,,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Family Affair Palermo,€ 125,Camera Tripla Deluxe,"Ruggero Settimo, Palermo",2024-03-20,"9,5",1.582 recensioni,"0,8 km dal centro",True,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
One,€ 94,Camera Queen Standard,"Castellammare Vucciria, Palermo",2024-03-20,"9,2",468 recensioni,"0,5 km dal centro",True,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Superior Suite Palermo,€ 136,Camera King con Vasca Idromassaggio,"La Kalsa, Palermo",2024-03-20,"9,8",31 recensioni,"0,9 km dal centro",True,Offerta Inizio 2024 ,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Liberty Suites,€ 74,Junior Suite con Balcone,"Ruggero Settimo, Palermo",2024-03-20,"8,6",837 recensioni,500 m dal centro,True,Offerta Inizio 2024 Booking.com paga ,False,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Hotel Garibaldi,€ 105,Camera Matrimoniale/Doppia con Letti Singoli,"Ruggero Settimo, Palermo",2024-03-20,"7,9",3.447 recensioni,450 m dal centro,True,,False,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
LA FINESTRA SUL PORTO,€ 82,Camera Matrimoniale Deluxe,"Borgo vecchio, Palermo",2024-03-20,"9,5",441 recensioni,"0,8 km dal centro",True,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Ruggero Settimo Gallery,€ 98,Camera Doppia con Letti Singoli,"Ruggero Settimo, Palermo",2024-03-20,"9,1",293 recensioni,250 m dal centro,True,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Palermo al Massimo,€ 108,Appartamento Standard,"Monte di Pietà, Palermo",2024-03-20,"9,1",378 recensioni,150 m dal centro,True,Offerta Inizio 2024 ,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Art Lincoln,€ 48,Camera Matrimoniale/Doppia con Letti Singoli,"La Kalsa, Palermo",2024-03-20,"7,8",262 recensioni,"1,4 km dal centro",True,,False,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Heritage Collection Palermo,€ 144,Suite Duplex,"Albergaria, Palermo",2024-03-20,"9,8",5 recensioni,"0,9 km dal centro",True,Booking.com paga ,True,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
29 Venti Luxury,€ 64,Camera Matrimoniale Economy,"Ruggero Settimo, Palermo",2024-03-20,"8,1",744 recensioni,300 m dal centro,False,Offerta Inizio 2024 ,True,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Casa Nostra Boutique Hotel & Spa,€ 208,Camera Matrimoniale Superior,"Monte di Pietà, Palermo",2024-03-20,"9,2",1.350 recensioni,350 m dal centro,True,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
BONORUM,€ 53,Camera Tripla Comfort,Palermo,2024-03-20,"7,9",763 recensioni,"1,1 km dal centro",True,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Suite Palermo Apartment,€ 85,Camera Matrimoniale Piccola,Palermo,2024-03-20,"9,3",256 recensioni,"1,7 km dal centro",True,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
5Venti Rental Rooms,€ 75,Camera Matrimoniale con Balcone,"La Kalsa, Palermo",2024-03-20,"9,2",351 recensioni,1 km dal centro,True,,False,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Hotel Joli,€ 85,Camera Matrimoniale/Doppia con Letti Singoli,"Ruggero Settimo, Palermo",2024-03-20,"7,7",1.183 recensioni,"0,5 km dal centro",True,,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Mama Tita Rooms and Breakfast,€ 90,Camera Matrimoniale/Doppia con Letti Singoli con Balcone,Palermo,2024-03-20,"9,6",455 recensioni,"1,1 km dal centro",True,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Casa Jolanda B&B,€ 59,Camera Quadrupla con Bagno Privato Esterno,Palermo,2024-03-20,"9,1",634 recensioni,1 km dal centro,False,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Guelio al Massimo Suites&Breakfast,€ 90,Camera Matrimoniale/Doppia con Letti Singoli con Bagno Privato,"Monte di Pietà, Palermo",2024-03-20,"8,7",413 recensioni,250 m dal centro,True,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Casale D' Or,€ 47,Camera Tripla con Balcone e Bagno Privato Esterno,Palermo,2024-03-20,"8,2",196 recensioni,"1,4 km dal centro",True,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Casa Nostra B&B,€ 94,Camera King Superior,"Monte di Pietà, Palermo",2024-03-20,"7,6",237 recensioni,300 m dal centro,True,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
B&B Cala Peppa,€ 98,Junior Suite con Terrazza,"Castellammare Vucciria, Palermo",2024-03-20,"8,8",596 recensioni,"0,8 km dal centro",True,,True,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Rooms 19 - Rooms and Breakfast,€ 77,Camera Matrimoniale con Balcone,"Castellammare Vucciria, Palermo",2024-03-20,"9,1",128 recensioni,"0,6 km dal centro",True,Offerta Inizio 2024 ,False,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Antica Palermo B&B,€ 76,Camera Matrimoniale con Bagno Privato Esterno,"Castellammare Vucciria, Palermo",2024-03-20,"8,5",314 recensioni,"0,7 km dal centro",True,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
La Terrazza su Palermo,€ 86,Camera Matrimoniale con Balcone,"Ruggero Settimo, Palermo",2024-03-20,"8,3",746 recensioni,300 m dal centro,True,,True,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
B&B Gallidoro,€ 85,Camera Matrimoniale con Bagno Privato,"Albergaria, Palermo",2024-03-20,"9,2",780 recensioni,1 km dal centro,True,,True,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Palermo Historia,€ 105,Camera Matrimoniale Economy,"Castellammare Vucciria, Palermo",2024-03-20,"9,5",156 recensioni,450 m dal centro,True,Offerta Inizio 2024 ,True,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Alle Porte del Capo,€ 61,Camera Quadrupla con Balcone,"Monte di Pietà, Palermo",2024-03-20,"7,8",376 recensioni,500 m dal centro,True,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
B&B Xenia,€ 54,Camera Matrimoniale,"Albergaria, Palermo",2024-03-20,"8,7",662 recensioni,"1,2 km dal centro",True,,True,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Castelnuovo Rooms,€ 42,Camera Matrimoniale/Doppia con Letti Singoli con Bagno in Comune,"Ruggero Settimo, Palermo",2024-03-20,"8,6",539 recensioni,350 m dal centro,True,,False,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Teatro del Sole Cavour,€ 64,Camera Matrimoniale con Bagno Privato,"Castellammare Vucciria, Palermo",2024-03-20,"8,8",9 recensioni,350 m dal centro,False,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Grand Hotel Et Des Palmes,€ 283,Camera Matrimoniale Comfort,"Ruggero Settimo, Palermo",2024-03-20,"9,0",1.021 recensioni,400 m dal centro,True,,True,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
B&B Le Porte Del Centro,€ 65,Camera Matrimoniale/Doppia con Letti Singoli con Bagno Privato,"Ruggero Settimo, Palermo",2024-03-20,"9,4",109 recensioni,"0,7 km dal centro",True,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
B&B Alexander-Room and Breakfast,€ 67,Camera Doppia con Letti Singoli con Bagno Privato,Palermo,2024-03-20,"8,5",299 recensioni,"0,6 km dal centro",True,,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Ad Hoc Rooms,€ 100,Camera Matrimoniale/Doppia con Letti Singoli con Bagno Privato,"La Kalsa, Palermo",2024-03-20,"9,4",511 recensioni,"0,9 km dal centro",True,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Sicilian Rooms Palermo,€ 109,Camera Matrimoniale Deluxe,"Castellammare Vucciria, Palermo",2024-03-20,"8,0",533 recensioni,200 m dal centro,True,,True,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Villa del Gattopardo,€ 154,Camera Queen Superior,Palermo,2024-03-20,"8,6",166 recensioni,"5,5 km dal centro",True,,True,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Hotel Pontemare,€ 116,Camera Matrimoniale,Palermo,2024-03-20,"8,5",906 recensioni,"0,8 km dal centro",True,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Ballarò Guest House,€ 76,Camera Matrimoniale con Bagno Privato,"Albergaria, Palermo",2024-03-20,"9,4",377 recensioni,"1,3 km dal centro",True,,True,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
La Terrazza sul Centro,€ 99,Camera Queen,"Albergaria, Palermo",2024-03-20,"9,2",1.157 recensioni,"0,8 km dal centro",False,,True,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Al Politeama Rooms B&B,€ 58,Camera Tripla con Bagno in Comune,"Borgo vecchio, Palermo",2024-03-20,"8,9",641 recensioni,"0,7 km dal centro",True,,True,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
Hotel Bel 3,€ 76,Camera Matrimoniale Economy con Vista Parziale,Palermo,2024-03-20,"8,1",2.538 recensioni,"5,5 km dal centro",True,,True,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
LE PORTE DI PALERMO,€ 58,Camera Tripla con Bagno Privato,Palermo,2024-03-20,"8,4",597 recensioni,"0,6 km dal centro",True,,True,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
B&b Carpe Diem,€ 75,Camera Tripla con Balcone,Palermo,2024-03-20,"9,8",539 recensioni,"0,9 km dal centro",True,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Into Palermo B&B,€ 68,Camera Matrimoniale Deluxe,"Monte di Pietà, Palermo",2024-03-20,"9,2",457 recensioni,350 m dal centro,True,,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Amarillo,€ 84,Camera Matrimoniale con Bagno Privato,"Ruggero Settimo, Palermo",2024-03-20,"9,4",441 recensioni,"0,5 km dal centro",True,Booking.com paga ,True,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
