nome_hotel,prezzo,stanza,città,data,punteggio,numero_recensioni,distanza_centro,genius,offerte,colazione_inclusa,senza_pagamento_anticipato,cancellazione_gratuita,os,username,user_agent_type,TIMESTAMP
La casetta nel vicolo,€ 84,Camera Matrimoniale con Vasca Idromassaggio,"Borgo vecchio, Palermo",2024-03-20,"9,1",25 recensioni,1 km dal centro,False,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Cathedral Home,€ 139,Appartamento con 1 Camera da Letto,"Monte di Pietà, Palermo",2024-03-20,"8,6",44 recensioni,"0,6 km dal centro",True,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Marbela Apartments & Suites,€ 119,Appartamento Deluxe,Palermo,2024-03-20,"8,1",132 recensioni,"2,4 km dal centro",False,Offerta Inizio 2024 ,False,True,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Casa Errante,€ 98,Appartamento Monolocale,Palermo,2024-03-20,"9,4",51 recensioni,"1,6 km dal centro",True,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
PortoAmuri,€ 139,Appartamento con 3 Camere da Letto,Palermo,2024-03-20,"9,5",23 recensioni,"0,7 km dal centro",True,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Palazzo Planeta,€ 129,Appartamento Standard,"Ruggero Settimo, Palermo",2024-03-20,"9,2",253 recensioni,500 m dal centro,False,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
AM APARTAMENT,€ 84,Appartamento con 2 Camere da Letto,"Albergaria, Palermo",2024-03-20,"7,7",7 recensioni,"0,8 km dal centro",True,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Casa Ciuri,€ 89,Camera Tripla con Balcone,"Albergaria, Palermo",2024-03-20,"9,0",116 recensioni,"0,8 km dal centro",False,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Appartamento Sofì Sofì,€ 60,Appartamento con 1 Camera da Letto,"Borgo vecchio, Palermo",2024-03-20,"7,3",41 recensioni,"0,9 km dal centro",False,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
B&B D'Amari Affittacamere,€ 118,Camera Matrimoniale Deluxe con Balcone,"Ruggero Settimo, Palermo",2024-03-20,"9,0",370 recensioni,"0,8 km dal centro",False,,True,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
palazzo pantaleo,€ 143,Camera Matrimoniale con Balcone,"Ruggero Settimo, Palermo",2024-03-20,"9,2",371 recensioni,350 m dal centro,False,,True,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Maqueda Rooms,€ 60,Camera Tripla con Bagno Privato,"Albergaria, Palermo",2024-03-20,"7,4",30 recensioni,"1,4 km dal centro",False,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
A Casa Dell' Artista,€ 203,Appartamento con 1 Camera da Letto,"Albergaria, Palermo",2024-03-20,"9,6",52 recensioni,"0,7 km dal centro",True,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
