nome_hotel,prezzo,stanza,città,data,punteggio,numero_recensioni,distanza_centro,genius,offerte,colazione_inclusa,senza_pagamento_anticipato,cancellazione_gratuita,os,username,user_agent_type,TIMESTAMP
Hotelier 51,€ 104,,"Vaticano Prati, Roma ",2024-03-20,"7,9", · 396 recensioni," 1,7 km dal centro",True,,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
You 101,€ 97,,"Stazione Termini, Roma ",2024-03-20,"8,8", · 361 recensioni," 2,1 km dal centro",True,Offerta Inizio 2024 ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Aurelia Home Guest House,€ 98,,"Aurelio, Roma ",2024-03-20,"8,1", · 396 recensioni," 4,3 km dal centro",True,Prezzo solo su mobile ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Nori Guest House,€ 91,,"Rione Monti, Roma ",2024-03-20,"8,2", · 480 recensioni," 1,6 km dal centro",False,,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Hotel Parrasio,€ 104,,"Trastevere, Roma ",2024-03-20,"8,0", · 591 recensioni," 1,6 km dal centro",True,Prezzo solo su mobile ,True,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Roma Palace,€ 88,,"Stazione Termini, Roma ",2024-03-20,"7,1", · 376 recensioni," 1,3 km dal centro",False,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Palace Rome,€ 51,,"Tiburtino, Roma ",2024-03-20,"7,0", · 1.217 recensioni," 9,5 km dal centro",False,Offerta Inizio 2024 ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
H Serena srl,€ 117,,"Stazione Termini, Roma ",2024-03-20,"7,6", · 4.810 recensioni," 1,5 km dal centro",True,Prezzo solo su mobile ,True,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Trevi & Pantheon Luxury Rooms,€ 152,,"Pantheon, Roma ",2024-03-20,"8,4", · 526 recensioni, 500 m dal centro,True,Prezzo solo su mobile ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Nova Roma Guest House,€ 82,,"Stazione Termini, Roma ",2024-03-20,"7,8", · 610 recensioni, 2 km dal centro,True,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
JSK Suite,€ 101,,"Gianicolense, Roma ",2024-03-20,"8,8", · 608 recensioni," 2,7 km dal centro",False,Prezzo solo su mobile ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Casina Dacia,€ 89,,"San Giovanni, Roma ",2024-03-20,,, 3 km dal centro,False,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Have A Nice Holiday - Luxury Rooms,€ 117,,"Vaticano Prati, Roma ",2024-03-20,"8,0", · 1.621 recensioni," 2,4 km dal centro",True,Prezzo solo su mobile ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Aurelia 429 Fine Town House,€ 87,,"Aurelio, Roma ",2024-03-20,"8,0", · 236 recensioni," 4,3 km dal centro",True,Prezzo solo su mobile ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
WE LOVE ROMA Guest House,€ 109,,"Vaticano Prati, Roma ",2024-03-20,"8,0", · 650 recensioni," 1,5 km dal centro",True,,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Mille Guest HOUSE,€ 74,,"Stazione Termini, Roma ",2024-03-20,"6,0", · 211 recensioni, 2 km dal centro,False,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Viennese Due,€ 82,,"Stazione Termini, Roma ",2024-03-20,"5,3", · 1.608 recensioni," 1,9 km dal centro",False,Prezzo solo su mobile ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Navona Nice Room,€ 120,,"Piazza Navona, Roma ",2024-03-20,"7,5", · 611 recensioni," 1,3 km dal centro",True,,True,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
DEM Hotel,€ 111,,"Rione Monti, Roma ",2024-03-20,"7,9", · 1.207 recensioni, 1 km dal centro,False,Offerta a tempo limitato ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
holiday home in the Vatican,€ 92,Intera casa vacanze – 79m²:,"Trionfale, Roma ",2024-03-20,"8,2", · 17 recensioni," 3,3 km dal centro",True,Prezzo solo su mobile ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Affittacamere Roma Tiburtina,€ 84,,"Nomentano, Roma ",2024-03-20,"6,2", · 604 recensioni," 4,2 km dal centro",False,,True,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Michelangelo Vatican Guest House,€ 94,,Roma ,2024-03-20,10, · 4 recensioni," 3,4 km dal centro",True,Offerta Inizio 2024 ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Matriosca Suites,€ 116,Intero monolocale – 25m²:,"Vaticano Prati, Roma ",2024-03-20,"9,0", · 6 recensioni," 2,7 km dal centro",True,Prezzo solo su mobile ,True,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Massimi City Garden,€ 119,,"Trionfale, Roma ",2024-03-20,,," 4,7 km dal centro",False,Offerta Inizio 2024 ,True,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Love of Rome,€ 76,,"Aurelio, Roma ",2024-03-20,"7,5", · 846 recensioni," 3,7 km dal centro",True,Offerta Inizio 2024 ,True,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
HOME PARADISE,€ 78,Intero appartamento – 25m²:,"Vaticano Prati, Roma ",2024-03-20,"4,9", · 270 recensioni, 3 km dal centro,False,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Casa Heberart Guest House Capo le Case,€ 98,,"Spagna, Roma ",2024-03-20,"8,4", · 205 recensioni," 0,9 km dal centro",False,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Spagna Dream Suites,€ 150,Suite privata:,"Spagna, Roma ",2024-03-20,"7,9", · 1.573 recensioni," 0,9 km dal centro",False,,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Grandis Rooms,€ 76,,"Stazione Termini, Roma ",2024-03-20,"7,2", · 548 recensioni," 2,7 km dal centro",True,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Hotel Leone,€ 103,,"Stazione Termini, Roma ",2024-03-20,"8,2", · 1.318 recensioni," 1,4 km dal centro",False,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
3 Lati di Pitagora B&B,€ 72,,"Stazione Termini, Roma ",2024-03-20,"6,3", · 307 recensioni, 2 km dal centro,False,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
MARCONI31Eredia,€ 74,,"Ostiense, Roma ",2024-03-20,"5,5", · 115 recensioni," 4,9 km dal centro",True,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Al centro di Roma,€ 143,,"Pantheon, Roma ",2024-03-20,"9,1", · 677 recensioni," 0,7 km dal centro",True,,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
A Peace Of Rome,€ 140,,"Vaticano Prati, Roma ",2024-03-20,"9,2", · 737 recensioni," 2,2 km dal centro",True,Prezzo solo su mobile ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
A Casa di Tiziana,€ 105,,Roma ,2024-03-20,"9,5", · 42 recensioni," 3,9 km dal centro",True,Prezzo solo su mobile ,True,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Hotel Villa San Lorenzo Maria,€ 102,,"San Lorenzo, Roma ",2024-03-20,"8,2", · 2.926 recensioni," 2,9 km dal centro",True,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
VG [ROME CENTER] Garibaldi Room,€ 117,,"Stazione Termini, Roma ",2024-03-20,"7,7", · 27 recensioni," 1,9 km dal centro",True,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
The Place to be &B,€ 77,,"Monte Sacro, Roma ",2024-03-20,"6,5", · 223 recensioni," 5,4 km dal centro",True,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Vatican City Relais,€ 70,,"Aurelio, Roma ",2024-03-20,"8,1", · 1.036 recensioni," 3,8 km dal centro",True,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Rossi Hotel,€ 115,,"Stazione Termini, Roma ",2024-03-20,"9,1", · 1.077 recensioni," 1,8 km dal centro",False,Prezzo solo su mobile ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Veneto Boutique Suites,€ 97,,"Via Veneto, Roma ",2024-03-20,"5,9", · 669 recensioni," 1,6 km dal centro",False,Prezzo solo su mobile Offerta SuperSegreta ,True,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Hotel Navona,€ 115,,"Pantheon, Roma ",2024-03-20,"8,4", · 1.967 recensioni," 0,7 km dal centro",True,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Movie Home Guesthouse,€ 73,,"Monte Sacro, Roma ",2024-03-20,"8,2", · 392 recensioni," 5,9 km dal centro",True,,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Hotel Fiorenza,€ 94,,"Stazione Termini, Roma ",2024-03-20,"6,9", · 1.840 recensioni, 2 km dal centro,True,,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Hotel Demetra Capitolina,€ 91,,"Stazione Termini, Roma ",2024-03-20,"5,8", · 601 recensioni," 1,5 km dal centro",False,Prezzo solo su mobile ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
parisa suite,€ 104,,"Stazione Termini, Roma ",2024-03-20,"8,1", · 352 recensioni," 1,7 km dal centro",True,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
SuiteSistina for Brave Lovers,€ 197,,"Spagna, Roma ",2024-03-20,"8,8", · 1.774 recensioni," 1,1 km dal centro",False,Prezzo solo su mobile ,True,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Eterna Roma,€ 113,,"Stazione Termini, Roma ",2024-03-20,"8,9", · 469 recensioni," 1,7 km dal centro",True,Prezzo solo su mobile ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Juna's guest house,€ 80,,"Tiburtino, Roma ",2024-03-20,"8,5", · 271 recensioni," 4,3 km dal centro",False,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Persia Collection Trevi,€ 141,,"Trevi, Roma ",2024-03-20,"8,3", · 704 recensioni," 0,6 km dal centro",True,,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
AmoRoma Vatican,€ 89,,"Vaticano Prati, Roma ",2024-03-20,"7,4", · 176 recensioni, 2 km dal centro,True,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Suite Paradise Rome,€ 138,,"Stazione Termini, Roma ",2024-03-20,"8,8", · 433 recensioni," 2,2 km dal centro",True,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
White Vatican,€ 93,,"Vaticano Prati, Roma ",2024-03-20,"5,4", · 1.424 recensioni," 2,3 km dal centro",False,Offerta Inizio 2024 ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Lovely Nights Rome - Luxury rooms,€ 118,,"Vaticano Prati, Roma ",2024-03-20,"9,2", · 532 recensioni," 2,8 km dal centro",True,Prezzo solo su mobile ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Prati Boutique Suites,€ 98,,"Vaticano Prati, Roma ",2024-03-20,"5,8", · 56 recensioni, 2 km dal centro,False,Offerta SuperSegreta ,True,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Suites Giulia,€ 173,Intero appartamento – 42m²:,"Piazza Navona, Roma ",2024-03-20,"8,9", · 112 recensioni," 1,4 km dal centro",True,Offerta Inizio 2024 ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Hotel Center 3,€ 80,,"Stazione Termini, Roma ",2024-03-20,"5,4", · 899 recensioni," 2,5 km dal centro",False,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Mondo Antico,€ 93,,"Aurelio, Roma ",2024-03-20,"9,1", · 375 recensioni," 4,4 km dal centro",True,Prezzo solo su mobile ,True,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Hotel Ascot,€ 120,,"Stazione Termini, Roma ",2024-03-20,"8,5", · 905 recensioni," 1,7 km dal centro",True,,True,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Diamond Vatican Rooms,€ 111,,"Trionfale, Roma ",2024-03-20,10, · 1 recensione," 3,3 km dal centro",False,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Claire House,€ 94,,"Stazione Termini, Roma ",2024-03-20,"8,8", · 9 recensioni," 1,8 km dal centro",False,Offerta Inizio 2024 ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
LISA VATICAN ROOMS,€ 138,,"Vaticano Prati, Roma ",2024-03-20,"9,2", · 35 recensioni," 2,4 km dal centro",False,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Bed Cinecittadue,€ 92,,"Appio Latino, Roma ",2024-03-20,"9,1", · 9 recensioni," 8,5 km dal centro",False,Prezzo solo su mobile ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Vatican Leone IV,€ 85,,"Vaticano Prati, Roma ",2024-03-20,"5,2", · 486 recensioni," 2,7 km dal centro",True,Prezzo solo su mobile ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Upper View Suite,€ 143,,"Spagna, Roma ",2024-03-20,"8,2", · 174 recensioni," 0,8 km dal centro",False,Prezzo solo su mobile ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
B&B Andy&LU,€ 97,,"Stazione Termini, Roma ",2024-03-20,"7,4", · 844 recensioni," 1,9 km dal centro",True,Prezzo solo su mobile ,True,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Casa Roma B&B,€ 107,,"Ostiense, Roma ",2024-03-20,"8,2", · 126 recensioni," 3,3 km dal centro",True,Offerta Inizio 2024 ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Flower guesthouse,€ 83,,"Stazione Termini, Roma ",2024-03-20,"7,4", · 1.357 recensioni, 2 km dal centro,False,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
La Dolce Vita Guesthouse,€ 90,,"San Giovanni, Roma ",2024-03-20,"7,8", · 563 recensioni," 2,6 km dal centro",True,Prezzo solo su mobile ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Residence San Paolo,€ 101,,"Ostiense, Roma ",2024-03-20,"8,1", · 72 recensioni," 4,4 km dal centro",False,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Tree Charme,€ 141,,"Trastevere, Roma ",2024-03-20,"8,5", · 1.417 recensioni," 1,1 km dal centro",False,,True,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Sangiò Guest House,€ 105,,"Rione Monti, Roma ",2024-03-20,"8,0", · 515 recensioni," 2,1 km dal centro",True,,True,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Pitagora B&B,€ 74,,"Stazione Termini, Roma ",2024-03-20,"6,3", · 357 recensioni," 1,6 km dal centro",False,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Courtyard Rome Suite,€ 82,,"Vaticano Prati, Roma ",2024-03-20,"7,5", · 448 recensioni," 1,7 km dal centro",True,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Romi Suite,€ 107,,Roma ,2024-03-20,10, · 2 recensioni," 4,7 km dal centro",False,,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
TERMINI Relex House,€ 67,,"Stazione Termini, Roma ",2024-03-20,"5,1", · 44 recensioni," 1,7 km dal centro",False,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Queen Meg Roma,€ 98,,Roma ,2024-03-20,"9,0", · 380 recensioni," 2,8 km dal centro",True,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
MIGDAL Luxury Suites Roma Testaccio,€ 113,,"Aventino, Roma ",2024-03-20,"8,7", · 268 recensioni, 2 km dal centro,False,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Il Magnificus Boutique,€ 104,,"Nomentano, Roma ",2024-03-20,"8,7", · 553 recensioni," 4,2 km dal centro",True,,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Prati Sweet Home,€ 108,,Roma ,2024-03-20,"9,4", · 105 recensioni," 3,3 km dal centro",False,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Olimpico's apartment,€ 111,,Roma ,2024-03-20,10, · 4 recensioni," 3,5 km dal centro",True,Offerta Inizio 2024 ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Piccolo Imperiale,€ 92,,"Vaticano Prati, Roma ",2024-03-20,"7,6", · 711 recensioni," 1,7 km dal centro",True,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
InnVatican Guest House,€ 91,,"Trionfale, Roma ",2024-03-20,"8,4", · 633 recensioni," 3,2 km dal centro",True,Prezzo solo su mobile ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Monti Guest House - Affittacamere,€ 117,,"Rione Monti, Roma ",2024-03-20,"7,8", · 440 recensioni," 0,9 km dal centro",True,,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Relais Incantesimo Vaticano,€ 134,,"Vaticano Prati, Roma ",2024-03-20,"9,1", · 352 recensioni," 2,6 km dal centro",True,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Soggiorno Emanuela,€ 69,,"Stazione Termini, Roma ",2024-03-20,"5,9", · 1.002 recensioni," 1,8 km dal centro",False,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Michelangelo Vatican Rooms,€ 92,,"Vaticano Prati, Roma ",2024-03-20,"8,4", · 209 recensioni," 3,3 km dal centro",True,Offerta Inizio 2024 ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Hotel Felice,€ 89,,"San Lorenzo, Roma ",2024-03-20,"6,4", · 2.290 recensioni," 2,5 km dal centro",False,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
B&B Easy,€ 115,,"Aventino, Roma ",2024-03-20,"9,4", · 1.084 recensioni," 2,6 km dal centro",True,,True,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
L'Oasi al Pigneto - Guest house,€ 91,,"Prenestino, Roma ",2024-03-20,"9,3", · 346 recensioni," 4,1 km dal centro",True,,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Klioos Apartment Testaccio,€ 120,Intera casa vacanze – 46m²:,"Aventino, Roma ",2024-03-20,10, · 4 recensioni," 1,8 km dal centro",False,Offerta Inizio 2024 ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Il Sole,€ 87,,"Stazione Termini, Roma ",2024-03-20,"7,2", · 2.310 recensioni, 2 km dal centro,True,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
B&B Home 77,€ 122,,Roma ,2024-03-20,"8,1", · 1.861 recensioni," 2,4 km dal centro",True,Prezzo solo su mobile ,True,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Tacito 23 Luxury rooms,€ 140,,"Vaticano Prati, Roma ",2024-03-20,"9,2", · 351 recensioni," 1,9 km dal centro",False,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Imperatore,€ 82,,"Aventino, Roma ",2024-03-20,"7,3", · 128 recensioni," 2,6 km dal centro",True,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Popolo Dream Suites - Luxury Rooms,€ 99,,"Villa Borghese/Parioli, Roma ",2024-03-20,"8,0", · 673 recensioni, 2 km dal centro,True,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
I LOVE VATICANO GUEST HOUSE,€ 103,,"Vaticano Prati, Roma ",2024-03-20,"7,9", · 435 recensioni," 2,4 km dal centro",True,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Excel Roma Montemario,€ 77,,"Trionfale, Roma ",2024-03-20,"6,9", · 2.532 recensioni," 5,8 km dal centro",True,,True,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Room 23,€ 104,,"Stazione Termini, Roma ",2024-03-20,"8,9", · 269 recensioni," 1,6 km dal centro",True,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
INTERNO ROMA,€ 94,,"Stazione Termini, Roma ",2024-03-20,"9,0", · 143 recensioni," 2,3 km dal centro",False,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Er Centurione,€ 93,,"Aventino, Roma ",2024-03-20,"7,6", · 482 recensioni," 2,6 km dal centro",False,Prezzo solo su mobile ,True,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Pianeta roma 48,€ 99,,"Trionfale, Roma ",2024-03-20,"6,6", · 596 recensioni," 3,2 km dal centro",False,Prezzo solo su mobile ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
